subj_idx	rt	angle	response
1	1.377660552	98.5	1
1	4.808886236	73.5	2
1	1.182166451	91.5	1
1	2.326242848	105.5	1
1	0.932981127	109.5	1
1	1.187952034	93	1
1	2.228627306	95	1
1	1.078511329	78.5	2
1	0.977920889	76	2
1	3.057767231	101.5	1
1	1.343143297	71	2
1	2.132858394	80.5	2
1	1.241117549	81.5	2
1	1.061163924	105	1
1	0.660817632	106	1
1	1.056172023	70.5	2
1	0.874392803	93	1
1	0.921648183	109	1
1	1.152662291	98	1
1	2.755498433	102	1
1	1.48197186	104.5	1
1	2.330210582	84.5	2
1	1.572366034	92	1
1	1.087014327	82.5	2
1	0.846713674	108.5	1
1	1.184879373	96.5	1
1	1.096216932	103	1
1	1.514745102	77.5	2
1	1.075106242	94	1
1	0.762911702	86	2
1	0.830299273	94.5	1
1	1.093956064	74.5	2
1	3.262274411	81	2
1	1.479143332	85	2
1	3.806434075	80	2
1	1.043635252	83.5	2
1	1.31482459	70	2
1	2.502903322	73	2
1	1.907009446	108	1
1	0.985809862	92	1
1	1.214291269	77.5	2
1	0.865984481	106.5	1
1	2.424472365	95	1
1	1.405666162	82	2
1	1.632585547	87	2
1	2.572214154	109.5	1
1	0.823161835	82.5	2
1	0.716887534	100.5	1
1	0.988327777	102	1
1	1.340603802	90.5	1
1	1.715853688	78	2
1	1.216899371	91.5	1
1	1.612470156	90.5	1
1	1.472692151	79.5	2
1	0.914095002	72.5	2
1	1.001046525	109	1
1	0.881634305	102.5	1
1	1.265950632	106	1
1	1.183704542	84	2
1	1.630607099	81	2
1	1.781956673	96	1
1	0.991436629	104	1
1	0.973235797	106.5	1
1	0.824490839	100	1
1	0.872354554	72.5	2
1	1.021987253	85.5	2
1	1.858261223	107	1
1	0.85487558	95.5	1
1	1.171418533	87.5	2
1	1.355490192	94.5	1
1	0.744495809	103.5	1
1	0.880808881	92.5	1
1	1.755516763	70.5	2
1	3.005321292	75.5	2
1	1.116174301	108	1
1	0.741984252	102.5	1
1	0.856076602	75	2
1	3.488635367	99	1
1	0.870990187	97.5	1
1	0.830749466	86	2
1	0.85337387	107.5	1
1	0.691522926	74	2
